YEAR,STATE,BENE_GEO_CD,BENES_MA_CNT,BENE_AVG_AGE,BENE_FEML_PCT,BENE_MALE_PCT,BENE_DUAL_PCT,BENES_OP_CNT,BENES_OP_PCT,OP_VISITS_PER_1000_BENES,BENES_ER_VISITS_CNT,BENES_ER_VISITS_PCT,ER_VISITS_PER_1000_BENES
2022,National,,29679713,72,0.5619,0.4381,0.2365,18585555,0.6262,3899.6528,10533779,0.3549,354.9151
2022,CA,6.0,3188104,74,0.5584,0.4416,0.2156,1571696,0.493,2121.5475,995723,0.3123,312.3245
2022,FL,12.0,2592290,73,0.5558,0.4442,0.2744,1180833,0.4555,2078.7119,928522,0.3582,358.186
2022,TX,48.0,2194093,72,0.5654,0.4346,0.2443,1269191,0.5785,3413.5837,856755,0.3905,390.4825
2022,NY,36.0,1790206,73,0.5704,0.4296,0.3597,1092635,0.6103,4283.2713,626699,0.3501,350.0709
2022,PA,42.0,1399160,73,0.5617,0.4383,0.2264,1098566,0.7852,5161.2696,524092,0.3746,374.5762
2022,OH,39.0,1258294,72,0.5694,0.4306,0.2255,980046,0.7789,6197.2973,508252,0.4039,403.9215
2022,MI,26.0,1203668,72,0.5528,0.4472,0.1619,940430,0.7813,5869.5421,389517,0.3236,323.6083
2022,NC,37.0,1033740,72,0.5804,0.4196,0.2035,683922,0.6616,3915.4449,356317,0.3447,344.6873
2022,GA,13.0,928498,71,0.5802,0.4198,0.2918,600501,0.6467,3576.6474,373206,0.4019,401.9459
