YEAR,STATE,BENE_GEO_CD,BENES_MA_CNT,BENE_AVG_AGE,BENE_FEML_PCT,BENE_MALE_PCT,BENE_DUAL_PCT,BENES_OP_CNT,BENES_OP_PCT,OP_VISITS_PER_1000_BENES,BENES_ER_VISITS_CNT,BENES_ER_VISITS_PCT,ER_VISITS_PER_1000_BENES
2016,AK,2.0,573,74,0.5271,0.4729,0.1902,309,0.5393,2406.6318,230,0.4014,401.3962
2016,AL,1.0,259683,69,0.5577,0.4423,0.2942,170262,0.6557,2854.7806,101182,0.3896,389.6366
2016,AR,5.0,122718,69,0.5532,0.4468,0.2813,81816,0.6667,3274.8741,49953,0.4071,407.0552
2016,AZ,4.0,448018,72,0.5653,0.4347,0.2714,211055,0.4711,2001.1718,145743,0.3253,325.3061
2016,CA,6.0,2368606,74,0.5637,0.4363,0.197,1138603,0.4807,1846.3902,699416,0.2953,295.2859
2016,CO,8.0,299451,73,0.5628,0.4372,0.1279,131580,0.4394,1836.6043,83802,0.2799,279.8521
2016,CT,9.0,167221,73,0.5685,0.4315,0.3584,110767,0.6624,3668.361,63234,0.3781,378.1463
2016,DC,11.0,11789,73,0.617,0.383,0.4464,4057,0.3441,1825.6001,4069,0.3452,345.1523
2016,DE,10.0,17198,72,0.5561,0.4439,0.1902,10746,0.6248,3229.9686,6965,0.405,404.989
2016,FL,12.0,1674057,72,0.5525,0.4475,0.2426,687165,0.4105,1539.6405,573063,0.3423,342.3199
2016,GA,13.0,518474,71,0.5845,0.4155,0.2313,335492,0.6471,2874.5125,202157,0.3899,389.9077
2016,HI,15.0,113466,75,0.5734,0.4266,0.2243,76164,0.6712,3500.9078,34397,0.3031,303.1481
2016,IA,19.0,102575,74,0.5462,0.4538,0.1046,62336,0.6077,3546.7024,28344,0.2763,276.3246
2016,ID,16.0,93818,72,0.5485,0.4515,0.1131,73573,0.7842,6247.3193,22434,0.2391,239.1226
2016,IL,17.0,451565,73,0.5716,0.4284,0.1704,305486,0.6765,3946.6101,164221,0.3637,363.6708
2016,IN,18.0,285422,73,0.5571,0.4429,0.1147,214518,0.7516,4544.2573,99171,0.3475,347.4539
2016,KS,20.0,72002,73,0.5541,0.4459,0.1123,41198,0.5722,3169.6897,24956,0.3466,346.6015
2016,KY,21.0,238015,71,0.5623,0.4377,0.0984,169006,0.7101,3902.6112,83091,0.3491,349.0998
2016,LA,22.0,252629,71,0.5547,0.4453,0.2332,188418,0.7458,4596.808,106055,0.4198,419.8053
2016,MA,25.0,257767,75,0.5832,0.4168,0.2509,195360,0.7579,5998.3008,108154,0.4196,419.5805
2016,MD,24.0,89815,73,0.5825,0.4175,0.1701,25475,0.2836,1587.9753,25106,0.2795,279.5301
2016,ME,23.0,77865,72,0.5297,0.4703,0.1583,66927,0.8595,8145.5083,21882,0.281,281.0249
2016,MI,26.0,664554,72,0.553,0.447,0.0989,507478,0.7636,4897.4922,203882,0.3068,306.7952
2016,MN,27.0,527078,74,0.563,0.437,0.0949,99392,0.1886,1247.7186,45343,0.086,86.0271
2016,MO,29.0,345214,72,0.5656,0.4344,0.1221,240489,0.6966,3852.225,133804,0.3876,387.5973
2016,MS,28.0,85844,70,0.5548,0.4452,0.2971,58480,0.6812,3927.3799,39739,0.4629,462.9211
2016,MT,30.0,40948,73,0.5401,0.4599,0.0674,32504,0.7938,6025.3248,8158,0.1992,199.2283
2016,NC,37.0,562542,72,0.5782,0.4218,0.1231,365071,0.649,3480.5703,179086,0.3184,318.3513
2016,ND,38.0,22832,75,0.552,0.448,0.0558,1856,0.0813,829.7565,793,0.0347,34.732
2016,NE,31.0,39923,73,0.5541,0.4459,0.109,23699,0.5936,3138.4916,12166,0.3047,304.7366
2016,NH,33.0,22335,73,0.5543,0.4457,0.0634,18304,0.8195,6237.5196,6628,0.2968,296.754
2016,NJ,34.0,246346,73,0.56,0.44,0.1333,125837,0.5108,2308.6512,92930,0.3772,377.2336
